ResourceGroup,VM,Enabled,StopScript,ScriptTimeout,TimeZone,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Description,Notes
frl-cms-production,fsrveuazhost02,0,powershell.exe -ExecutionPolicy Unrestricted -file c:\temp\test.ps1,300,Central European Standard Time,0|0,8|20,8|20,8|20,8|20,8|9,0|0,turned off 8:00 PM --> 8:00 AM (Alway Saturday and Sunday),
frl-cms-staging,frl-cms-staging,0,sh /usr/sbin/test.sh,120,Central European Standard Time,0|0,8|20,8|20,8|20,8|20,8|9,0|0,turned off 8:00 PM --> 8:00 AM (Alway Saturday and Sunday),
frl-cms-test,frl-cms-test,0,,,Central European Standard Time,0|0,8|20,8|20,8|20,8|20,8|9,0|0,turned off 8:00 PM --> 8:00 AM (Alway Saturday and Sunday),
frl-com-prod,frl-com-prod-01,0,,,Central European Standard Time,0|0,8|20,8|20,8|20,8|20,8|9,0|0,turned off 8:00 PM --> 8:00 AM (Alway Saturday and Sunday),
frl-com-prod,frl-com-prod-02,0,,,Central European Standard Time,0|0,8|20,8|20,8|20,8|20,8|9,0|0,turned off 8:00 PM --> 8:00 AM (Alway Saturday and Sunday),
frl-com-stage,frl-com-stag-01,0,,,Central European Standard Time,0|0,8|20,8|20,8|20,8|20,8|9,0|0,turned off 8:00 PM --> 8:00 AM (Alway Saturday and Sunday),
frl-com-stage,frl-com-stag-02,0,,,Central European Standard Time,0|0,8|20,8|20,8|20,8|20,8|9,0|0,turned off 8:00 PM --> 8:00 AM (Alway Saturday and Sunday),
frl-com-test01,frl-com-test01,0,,,Central European Standard Time,0|0,8|20,8|20,8|20,8|20,8|9,0|0,turned off 8:00 PM --> 8:00 AM (Alway Saturday and Sunday),
frl-courtesy-us,frl-court-us-01,0,,,Central European Standard Time,0|0,8|20,8|20,8|20,8|20,8|9,0|0,turned off 8:00 PM --> 8:00 AM (Alway Saturday and Sunday),
frl-courtesy-us,frl-court-us-02,0,,,Central European Standard Time,0|0,8|20,8|20,8|20,8|20,8|9,0|0,turned off 8:00 PM --> 8:00 AM (Alway Saturday and Sunday),
frl-courtesy-us,frl-court-us-03,0,,,Central European Standard Time,0|0,8|20,8|20,8|20,8|20,8|9,0|0,turned off 8:00 PM --> 8:00 AM (Alway Saturday and Sunday),
frl-courtesy-us,frl-court-us-04,0,,,Central European Standard Time,0|0,8|20,8|20,8|20,8|20,8|9,0|0,turned off 8:00 PM --> 8:00 AM (Alway Saturday and Sunday),
frl-db-prod01,frl-db-prod01,0,,,Central European Standard Time,0|0,8|20,8|20,8|20,8|20,8|9,0|0,turned off 8:00 PM --> 8:00 AM (Alway Saturday and Sunday),
frl-db-prod02,frl-db-prod02,0,,,Central European Standard Time,0|0,8|20,8|20,8|20,8|20,8|9,0|0,turned off 8:00 PM --> 8:00 AM (Alway Saturday and Sunday),
frl-db-stage01,frl-db-stage01,0,,,Central European Standard Time,0|0,8|20,8|20,8|20,8|20,8|9,0|0,turned off 8:00 PM --> 8:00 AM (Alway Saturday and Sunday),
frl-db-stage02,frl-db-stage02,0,,,Central European Standard Time,0|0,8|20,8|20,8|20,8|20,8|9,0|0,turned off 8:00 PM --> 8:00 AM (Alway Saturday and Sunday),
frl-grm-it,frl-grm-it,0,,,Central European Standard Time,0|0,8|20,8|20,8|20,8|20,8|9,0|0,turned off 8:00 PM --> 8:00 AM (Alway Saturday and Sunday),
frl-hart,frl-hart,0,,,Central European Standard Time,0|0,8|20,8|20,8|20,8|20,8|9,0|0,turned off 8:00 PM --> 8:00 AM (Alway Saturday and Sunday),
frl-hart-mo,frl-hart-mo,0,,,Central European Standard Time,0|0,8|20,8|20,8|20,8|20,8|9,0|0,turned off 8:00 PM --> 8:00 AM (Alway Saturday and Sunday),
frl-hart-mo-jp,frl-hart-mo-jp,0,,,Central European Standard Time,0|0,8|20,8|20,8|20,8|20,8|9,0|0,turned off 8:00 PM --> 8:00 AM (Alway Saturday and Sunday),
frl-myplay,frl-myplay,0,,,Central European Standard Time,0|0,8|20,8|20,8|20,8|20,8|9,0|0,turned off 8:00 PM --> 8:00 AM (Alway Saturday and Sunday),
frl-synch,frl-synch,0,,,Central European Standard Time,0|0,8|20,8|20,8|20,8|20,8|9,0|0,turned off 8:00 PM --> 8:00 AM (Alway Saturday and Sunday),
furla-feeling,furla-feeling,0,,,Central European Standard Time,0|0,8|20,8|20,8|20,8|20,8|9,0|0,turned off 8:00 PM --> 8:00 AM (Alway Saturday and Sunday),
furta-com-node,vmdepot-nodej,0,,,Central European Standard Time,0|0,8|20,8|20,8|20,8|20,8|9,0|0,turned off 8:00 PM --> 8:00 AM (Alway Saturday and Sunday),
wp-furla,wp-furla,0,,,Central European Standard Time,0|0,8|20,8|20,8|20,8|20,8|9,0|0,turned off 8:00 PM --> 8:00 AM (Alway Saturday and Sunday),
